"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","493","","CourierLoginTest","","CourierLoginTest","","loginWithoutAllRequiredFieldsExist",""
"passed","","","556","","OrdersCreateTest","","OrdersCreateTest","","successOrderCreateResponseContainsTrack[1]",""
"passed","","","474","","OrdersCreateTest","","OrdersCreateTest","","colorIsOptionalForSuccessOrderCreate[3]",""
"passed","","","500","","OrdersCreateTest","","OrdersCreateTest","","successOrderCreateResponseContainsTrack[3]",""
"passed","","","2366","","CourierCreateTest","","CourierCreateTest","","courierCreatingTest",""
"passed","","","530","","CourierLoginTest","","CourierLoginTest","","loginWithUserThatDoesntExist",""
"failed","","","552","","CourierCreateTest","","CourierCreateTest","","existsSameCourierCreating",""
"passed","","","533","","OrdersCreateTest","","OrdersCreateTest","","successOrderCreateResponseContainsTrack[0]",""
"passed","","","527","","OrdersCreateTest","","OrdersCreateTest","","colorIsOptionalForSuccessOrderCreate[2]",""
"passed","","","527","","OrdersCreateTest","","OrdersCreateTest","","colorIsOptionalForSuccessOrderCreate[1]",""
"passed","","","504","","OrdersCreateTest","","OrdersCreateTest","","colorIsOptionalForSuccessOrderCreate[0]",""
"passed","","","1489","","CourierLoginTest","","CourierLoginTest","","loginWithCorrectData",""
"passed","","","513","","OrdersCreateTest","","OrdersCreateTest","","successOrderCreateResponseContainsTrack[2]",""
"passed","","","502","","CourierCreateTest","","CourierCreateTest","","someFieldDoesntExistsReturnsError",""
"passed","","","4331","","OrdersGetTest","","OrdersGetTest","","ordersSuccessfulGetsList",""
"passed","","","2098","","CourierLoginTest","","CourierLoginTest","","loginWithWrongPassword",""
"passed","","","500","","CourierCreateTest","","CourierCreateTest","","courierCreatingAllRequiredFieldMustBeFIlled",""
